"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"CD_ELEICAO";"NM_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"NR_PROTOCOLO_REGISTRO";"DT_REGISTRO";"ST_PESQUISA_PROPRIA";"NR_CNPJ_EMPRESA";"NM_EMPRESA";"NM_EMPRESA_FANTASIA";"DS_CARGO";"DT_INICIO_PESQUISA";"DT_FIM_PESQUISA";"QT_ENTREVISTADO";"CD_CONRE";"NM_ESTATISTICO_RESP";"VR_PESQUISA";"DS_METODOLOGIA_PESQUISA";"DS_PLANO_AMOSTRAL";"DS_SISTEMA_CONTROLE";"DS_DADO_MUNICIPIO"
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"MS";"MS";"MATO GROSSO DO SUL";"MS000092014";"2014-04-04 00:00:00";"#NE";"36781946000180";"IPEMS - Instituto de Pesquisas de Mato Grosso do Sul LTDA";"#NE";"Governador, Senador, Deputado Federal, Deputado Estadual";"2014-04-05 00:00:00";"2014-04-08 00:00:00";503;"5451-A";"Ivan Ferreira Domingues";"7545,00";"Pesquisa em Campo Grande - MS, do tipo quantitativa, por amostragem, com aplicação de questionário estruturado, abordagem pessoal em pontos de fluxo populacional e domiciliar. O conjunto da população eleitora de Campo Grande, com 16 anos ou mais será tomado como universo da pesquisa.";"Universo: População eleitora de Campo Grande- MS, com 16 anos ou mais. Tamanho da amostra: A amostra prevista é de 503 entrevistas. A amostra é auto-ponderada e estratificada segundo combinação das variáveis, sexo, faixa etária, grau de instrução e nível econômico da população eleitora, Os dados do TRE-MS, servirão como base de perfil e dispersão geográfica da amostra. O grau de confiança da pesquisa é de 95% e, margem de erro prevista é de 4,37% para mais ou para menos.";"Para realização da pesquisa, os trabalhos de campo serão realizados por
entrevistadoras, treinadas pelo instituto, recebendo instruções específicas para cada projeto. São
checadas até 20% dos questionários, seja in loco, pela coordenação de campo ou, posteriormente, por
telefone.";"Atendendo ao Art. 1º, § 5º da resolução 23.400 do TSE (Anexo
delimitação de área física abrangida pela pesquisa, contendo regiões e setores de C ampo Grande - MS)"
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"MS";"MS";"MATO GROSSO DO SUL";"MS000132014";"2014-05-17 00:00:00";"#NE";"03683644000110";"CONPAR - CONSULTORIA, PESQUISA E PARTICIPACOES S/S LTDA";"#NE";"Governador, Senador, Deputado Estadual";"2014-05-14 00:00:00";"2014-05-19 00:00:00";800;"9796-A";"Marcelo Adriano Scardovelli Fernandes";"6900,00";"A pesquisa será realizada com moradores de Campo Grande/MS maiores de 16 anos e eleitores no município. Será realizada utilizando-se entrevistas pessoais e domiciliares, com aplicação de questionário estruturado e entrevistas pessoais. Para realizar a amostragem utilizou-se o sorteio em três fases. Na primeira fase realizou-se o sorteio aleatório dos setores censitários. Na segunda fase procedeu-se ao sorteio aleatório dos domicílios a serem entrevistados dentro dos setores. Na terceira e última fase preencheu-se as cotas de sexo e faixa etária determinadas pelos dados do TSE de dezembro/2013. ";"O plano amostral é composto pelas cotas de sexo e faixa etária proporcionais ao universo de eleitores (segundo dados do TSE de dezembro/2013) e pela distribuição geográfica da amostra, representada pelos setores censitários sorteados para a amostra. Para uma amostra de 800 entrevistas, estima-se uma margem de erro total de 3,5 pontos percentuais para mais ou para menos, considerando-se um nível de confiança de 95%.";"Corresponde aos padrões comuns utilizados em Pesquisa de Opinião Pública: leitura de todos os questionários aplicados e verificação de 20% do material preenchido por cada um dos entrevistadores. ";"A pesquisa será realizada na zona urbana do município de Campo Grande. Os setores onde serão realizadas as entrevistas encontram-se no anexo correspondente. "
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"MS";"MS";"MATO GROSSO DO SUL";"MS000342014";"2014-09-06 00:00:00";"#NE";"03683644000110";"CONPAR - CONSULTORIA, PESQUISA E PARTICIPACOES S/S LTDA";"#NE";"Governador, Senador";"2014-09-06 00:00:00";"2014-09-10 00:00:00";1500;"9796-A";"Marcelo Adriano Scardovelli Fernandes";"44915,00";"Realização de Pesquisa de Opinião Pública, na modalidade quantitativa, com abordagens pessoais e entrevistas para preenchimento de questionário individual previamente estabelecido e estruturado para coleta de dados e informações junto a um universo amostral representativo, sendo que todos são eleitores residentes e domiciliados neste estado, e possuidores de títulos de eleitor cadastrado no TRE/MS e que votam somente no Estado de Mato Grosso do Sul. ";"A pesquisa será representativa do Estado de Mato Grosso do Sul, (área em estudo) com entrevistas somente com eleitores de idade igual e superior a 16 anos, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando o eleitorado como base para a aplicação da amostragem, que, por se tratar de amostragem representativa, as variáveis de sexo, faixa etária, escolaridade, rendimento mensal (familiar ou pessoal) e localização domiciliar. A  pesquisa é auto-ponderada, isto é, as proporções estão contidas na amostra conforme critério técnicos por amostragem aleatória simples. De acordo com o projeto global da pesquisa, sendo que o nível de confiança estimado é de 95%, e a margem de erro é de 2,5%, para mais ou para menos sobre os resultados encontrados no total da amostra. A fonte dos dados são do IBGE/TSE/TRE-MS. ";"Os trabalhos de entrevistas pessoais e ""in loco"", são desenvolvidos por uma equipe de entrevistadores, coordenadores e supervisores, onde foram devidamente treinados e capacitados para o desenvolvimento e a execução do projeto da pesquisa. Ao término dos trabalhos de coleta de dados de campo, os questionários são submetidos a uma verificação, que consiste na conferência de aplicação das ""cotas amostrais"", em determinados casos de até 20% das entrevistas realizadas pelos agentes de pesquisas, para conferência das respostas e dos pontos de tomadas das entrevistas.";"Esta Pesquisa de opinião, tem como abrangência o Estado de Mato Grosso do Sul, a área de estudo foi dividida em 05 (cinco) mesorregiões (Pantanais, Centro, Norte, Leste e Sudoeste; e 11 (onze) microrregiões geográficas do Estado (Aquidauana,Baixo Pantanal, Alto Taquari, Campo Grande, Cassilândia, Paranaíba, Três Lagoas, Nova Andradina, Bodoquena, Dourados e Iguatemi).
"
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"MS";"MS";"MATO GROSSO DO SUL";"MS000722014";"2014-10-15 00:00:00";"#NE";"68802370000186";"IBOPE INTELIGÊNCIA PESQUISA E CONSULTORIA LTDA. ";"#NE";"Governador";"2014-10-15 00:00:00";"2014-10-20 00:00:00";812;"6208-A";"Márcia Cavallari Nunes";"54322,80";"Pesquisa quantitativa, que consiste na realização de entrevistas pessoais com a aplicação de questionário estruturado junto a uma amostra representativa do eleitorado em estudo.";"Representativa do eleitorado da área em estudo, elaborada em três estágios.
No primeiro estágio faz-se um sorteio probabilístico dos municípios, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando o eleitorado como base para tal seleção.
No segundo estágio faz-se um sorteio probabilístico dos setores censitários, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando a população de 16 anos ou mais residente nos setores como base para tal seleção. No terceiro e último estágio, dentro dos setores sorteados, os respondentes são selecionados através de quotas amostrais proporcionais em função de variáveis significativas, a saber: IDADE: 16-24 (masculino) 17% (feminino) 20%; 25-34 (masculino) 26% (feminino) 25%; 35-44 (masculino) 21% (feminino) 20%; 45-54 (masculino) 17% (feminino) 16%; 55 e+ (masculino) 18% (feminino) 19%; INSTRUÇÃO: Até Ensino Médio (masculino) 82% (feminino) 76%; Ensino Superior (masculino) 18% (feminino) 24%; NÍVEL ECONÔMICO: Economicamente ativo (masculino) 84% (feminino) 61%; Não Economicamente ativo (masculino) 16% (feminino) 39%. 
Está prevista eventual ponderação para correção das variáveis sexo e idade, com base nos percentuais anteriormente mencionados, caso ocorram diferenças superiores a 3 pontos percentuais entre o previsto na amostra e a coleta de dados realizada. Para as variáveis de grau de instrução e nível econômico do entrevistado, o fator previsto para ponderação é 1 (resultados obtidos em campo). O nível de confiança estimado é de 95% e a margem de erro máxima estimada considerando um modelo de amostragem aleatório simples, é de 3 (três) pontos percentuais para mais ou para menos sobre os resultados encontrados no total da amostra.
FONTE DOS DADOS: Censo 2010 | PNAD 2012 | TSE 2014 | Entre outras.
";"Para a realização da pesquisa, utiliza-se uma equipe de entrevistadores e supervisores contratados pelo IBOPE INTELIGÊNCIA PESQUISA E CONSULTORIA LTDA. devidamente treinados para o trabalho. Após os trabalhos de campo, os questionários são submetidos a uma fiscalização de cerca de 20% (vinte por cento) dos questionários aplicados pelos entrevistadores; para verificação das respostas e da adequação dos entrevistados aos parâmetros amostrais.";"A área de abrangência da coleta é o Estado do Mato Grosso do Sul. A Relação de municípios selecionados para aplicação da amostra será apresentada até o 7º dia seguinte ao Registro da pesquisa, conforme expresso no art. 2º § 5º da resolução 23.400/2013 do TSE."
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"MS";"MS";"MATO GROSSO DO SUL";"MS000582014";"2014-10-03 00:00:00";"#NE";"00654576000172";",INSTITUTO   VERITÁ   LTDA  epp";"#NE";"Governador";"2014-10-06 00:00:00";"2014-10-08 00:00:00";1610;"7439 / 6ª Região";"Leonard Mendonça de Assis";"65000,00";"	Pesquisa quantitativa, que consiste na realização de entrevistas pessoais, com a aplicação de questionários estruturados e padronizados junto a uma amostra representativa do eleitorado do estado do MATO GROSSO DO SUL
";"a) Público pesquisado: Eleitores residentes no Estado de MATO GROSSO DO SUL b) tipo de amostra: A amostragem será realizada da seguinte forma: 1. Estratificação do estado por agrupamento de Microrregiões obedecendo critério geográfico e Porte dos municípios 2. Tamanho de cada estrato foi definido proporcional ao número de domicílios pertencente a cada um destes (Dados obtidos pelos microdados do CENSO Demográfico de 2010, IBGE) 3. Sorteio de Setores Censitários dentro de cada Estrato 4. Seleção das Residências segundo critério de amostragem sistemática 5. Realização de entrevistas domiciliares com sorteio dentre os moradores presentes na residência selecionada, obedecendo um quadro de Idade/Sexo gerado de maneira aleatória por um software estatístico, levando em consideração as proporções de idade e sexo constantes no sitio do TSE para o Estado. Idade e Sexo FEMININO, 16 A 24 ANOS; 9,19% / MASCULINO, 16 A 24 ANOS; 8,83% FEMININO, 25 A 34 ANOS; 12,32% / MASCULINO, 25 A 34 ANOS; 11,66% FEMININO, 35 A 44 ANOS; 10,41% / MASCULINO, 35 A 44 ANOS; 9,71% FEMININO, 45 A 59 ANOS; 12,09% / MASCULINO, 45 A 59 ANOS; 11,23% FEMININO, 60 ANOS OU MAIS; 7,42% / MASCULINO, 60 ANOS OU MAIS; 7,14% Nível Econômico Masculino / PEA 82,68% Masculino / Não PEA 17,32% Feminino / PEA 59,69% Feminino / Não PEA 40,31% Nível de Instrução Masculino / Até 5 anos instrução 41,75% Masculino / de 6 a 9 anos de instrução 24,86% Masculino / de 10 a 12 anos de instrução 24,31% Masculino / mais de 12 anos de instrução 9,08% Feminino / Até 5 anos instrução 37,96% Feminino / de 6 a 9 anos de instrução 21,91% Feminino / de 10 a 12 anos de instrução 27,05% Feminino / mais de 12 anos de instrução 13,07% c) Intervalo de Confiança/Margem de Erro: Para este planejamento amostral, considerando-se um intervalo de confiança de 95%, é esperado um erro máximo de 2,45 pontos percentuais na estimação da proporção das intenções de voto dos candidatos. ESTA PESQUISA MEDIRÁ APENAS O ESTADO DE MATO GROSSO DO SUL ";"Para a realização da pesquisa será utilizada uma equipe de entrevistadores e supervisores devidamente treinada para este trabalho. Após os trabalhos de campo, os questionários são submetidos a uma fiscalização que consiste no retorno a campo de 20% dos questionários aplicados individualmente pelos entrevistadores, para verificação das respostas e da adequação dos entrevistados aos parâmetros amostrais";"#NULO#"
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"MS";"MS";"MATO GROSSO DO SUL";"MS000792014";"2014-10-20 00:00:00";"#NE";"68802370000186";"IBOPE INTELIGÊNCIA PESQUISA E CONSULTORIA LTDA. ";"#NE";"Governador";"2014-10-20 00:00:00";"2014-10-25 00:00:00";812;"6208-A";"Márcia Cavallari Nunes";"54322,80";"Pesquisa quantitativa, que consiste na realização de entrevistas pessoais com a aplicação de questionário estruturado junto a uma amostra representativa do eleitorado em estudo.
";"Representativa do eleitorado da área em estudo, elaborada em três estágios.
No primeiro estágio faz-se um sorteio probabilístico dos municípios, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando o eleitorado como base para tal seleção.
No segundo estágio faz-se um sorteio probabilístico dos setores censitários, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando a população de 16 anos ou mais residente nos setores como base para tal seleção. No terceiro e último estágio, dentro dos setores sorteados, os respondentes são selecionados através de quotas amostrais proporcionais em função de variáveis significativas, a saber: IDADE: 16-24 (masculino) 17% (feminino) 20%; 25-34 (masculino) 26% (feminino) 25%; 35-44 (masculino) 21% (feminino) 20%; 45-54 (masculino) 17% (feminino) 16%; 55 e+ (masculino) 18% (feminino) 19%; INSTRUÇÃO: Até Ensino Médio (masculino) 82% (feminino) 76%; Ensino Superior (masculino) 18% (feminino) 24%; NÍVEL ECONÔMICO: Economicamente ativo (masculino) 84% (feminino) 61%; Não Economicamente ativo (masculino) 16% (feminino) 39%. 
Está prevista eventual ponderação para correção das variáveis sexo e idade, com base nos percentuais anteriormente mencionados, caso ocorram diferenças superiores a 3 pontos percentuais entre o previsto na amostra e a coleta de dados realizada. Para as variáveis de grau de instrução e nível econômico do entrevistado, o fator previsto para ponderação é 1 (resultados obtidos em campo). O nível de confiança estimado é de 95% e a margem de erro máxima estimada considerando um modelo de amostragem aleatório simples, é de 3 (três) pontos percentuais para mais ou para menos sobre os resultados encontrados no total da amostra.
FONTE DOS DADOS: Censo 2010 | PNAD 2012 | TSE 2014 | Entre outras.
";"Para a realização da pesquisa, utiliza-se uma equipe de entrevistadores e supervisores contratados pelo IBOPE INTELIGÊNCIA PESQUISA E CONSULTORIA LTDA. devidamente treinados para o trabalho. Após os trabalhos de campo, os questionários são submetidos a uma fiscalização de cerca de 20% (vinte por cento) dos questionários aplicados pelos entrevistadores; para verificação das respostas e da adequação dos entrevistados aos parâmetros amostrais.";"A área de abrangência da coleta é o Estado do Mato Grosso do Sul. A Relação de municípios selecionados para aplicação da amostra será apresentada até o 7º dia seguinte ao Registro da pesquisa, conforme expresso no art. 2º § 5º da resolução 23.400/2013 do TSE."
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"MS";"MS";"MATO GROSSO DO SUL";"MS000042014";"2014-03-10 00:00:00";"#NE";"04362689000155";"ST Pesquisa de Mercado Ltda.";"#NE";"Governador, Senador, Deputado Federal";"2014-02-26 00:00:00";"2014-03-13 00:00:00";800;"9796-A";"Marcelo Adriano Scardovelli Fernandes";"6000,00";"A pesquisa será realizada com moradores de Campo Grande/MS maiores de 16 anos e eleitores no município. Será realizada utilizando-se entrevistas pessoais e domiciliares, com aplicação de questionário estruturado e entrevistas pessoais.
Para realizar a amostragem utilizou-se o sorteio em  três fases. Na primeira fase realizou-se o sorteio aleatório dos setores censitários utilizando-se o método PPT (Probabilidade Proporcional ao Tamanho do setor ). Na segunda fase procedeu-se ao sorteio aleatório dos domicílios a serem entrevistados dentro dos setores. Na terceira e última fase preencheu-se as cotas de sexo e faixa etária determinadas pelos dados do TSE de dezembro/13.";"Em relação à ponderação, devido à metodologia amostral adotada, os fatores de ponderação a serem aplicados em todas as variáveis (sexo e faixa etária) assumem valor igual a 1 (um).
O nível econômico é assegurado através do controle das variáveis descritas acima e da dispersão geográfica da amostra. O plano amostral é composto pelas cotas de sexo e faixa etária proporcionais ao universo de eleitores (segundo dados do TSE de dezembro/13) e pela distribuição geográfica da amostra, representada pelos setores censitários sorteados para a amostra. Para uma amostra de 800 entrevistas, estima-se uma margem de erro total de 3,5 pontos percentuais para mais ou para menos, considerando-se um nível de confiança de 95% numa hipótese de p=q=50%.
";"Corresponde aos padrões comuns utilizados em Pesquisa de Opinião Pública: leitura de todos os questionários aplicados e verificação de 20% do material preenchido por  cada um dos entrevistadores.";"A pesquisa será realizada na zona urbana do município de Campo Grande. Os setores onde serão realizadas as entrevistas encontra-se no anexo correspondente."
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"MS";"MS";"MATO GROSSO DO SUL";"MS000372014";"2014-09-16 00:00:00";"#NE";"13102873000157";"VALE CONSULTORIA E ASSESSORIA LTDA.";"#NE";"Governador, Senador";"2014-09-16 00:00:00";"2014-09-20 00:00:00";1700;"7655";"Augusto da Silva Rocha";"20000,00";"A abordagem utilizada consiste na aplicação de uma amostragem aleatória representativa da população residente com 16 anos ou mais de idade. A amostra é selecionada em dois estágios sendo que no primeiro faz-se uma divisão da amostra proporcionalmente ao número de habitantes acima de 16 anos de idade dentro de cada área geográfica intra-municipal. No segundo estágio, para cada área geográfica, os representantes são selecionados aleatoriamente respeitando-se quotas proporcionais controladas por região geográfica, sexo e faixa etária, escolaridade e renda mensal domiciliar, de acordo com o perfil da população em estudo.";"Ponderação quanto ao sexo: masculino 47,5%, feminino 52,5%. Ponderação quanto a faixa etária: De 16 a 17 anos: 1,4%, de 18 a 24 anos: 15,4%, de 25 a 34 anos: 23,7%, de 35 a 44 anos: 20,2%, de 45 à 59 anos: 23,9%, de 60 anos ou mais: 15,4%. Ponderação quanto a Escolaridade: Até 1º grau incompleto 44,7%, 1ª grau completo até 2º grau incompleto 28,7%, 2º grau completo até superior incompleto. 20,7% e superior completo 5,9%. Ponderação quanto a renda mensal domiciliar: Até 1 SM 15,1%, de 1 a 2 SM 22,4%, de 2 a 5 SM 37,7%, de 5 a 10 SM 16,0%, Mais de 10 SM 8,8%. Para um intervalo de confiança de 95%, a margem de erro máxima é estima em 2,375 pontos percentuais para mais ou para menos.";"Todos os questionários preenchidos recebem crítica para avaliação da consistência dos dados coletados. 20% dos questionários são separados aleatoriamente para ser submetido à conferência através de novo contato com os entrevistados, medida sempre adotada e que visa garantir a qualidade e fidelidade dos dados coletados. A consistência dos dados é verificada pelo seu conteúdo e lógica.";"Campo Grande: localidades: Anhanduí/Rochedinho: 0,4%, Região urbana do Bandeira 7,4%, Região Urbana do Centro 5,2%, região urbana do Imbirussú 6,3%, Região Urbana do Lagoa 7,3%, Região Urbana do Prosa 5,2%, Região Urbana do Segredo 7,0% e Região Urbana do Anhanduizinho 11,8%. Outras localidades  Aquidauana 2,8%, Bonito 1,3%, Chapadão do Sul 1,2% Corumbá 5,6%, Coxim 2,1% Dourados 12,3% Maracajú 2,1% Naviraí 3,0%, Nova Andradina 2,9% Paranaíba 2,8% Porto Murtinho 0,8%, São Gabriel do Oeste 1,4 e Três Lagoas 6,5%"
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"MS";"MS";"MATO GROSSO DO SUL";"MS000502014";"2014-09-26 00:00:00";"#NE";"04970294000135";"L A PESQUISA DE OPINIÃO MERCADOLÓGICA ASSESSORIA & MARKETING";"#NE";"Governador, Senador, Deputado Federal, Deputado Estadual";"2014-09-26 00:00:00";"2014-10-01 00:00:00";1000;"7655";"Augusto da Silva Rocha";"15000,00";"A abordagem utilizada consiste na aplicação de uma amostragem aleatória representativa da população residente em CAMPO GRANDE, COXIM, DOURADOS, NAVIRAÍ, NOVA ANDRADINA, PARANAÍBA, SIDROLANDIA, COSTA RICA, SÃO GABRIEL DO OESTE, AQUIDAUANA TRÊS LAGOAS/MS , com 16 anos ou mais de idade. A amostra é selecionada em dois estágios, sendo que no primeiro faz-se uma divisão da amostra proporcionalmente ao número de habitantes acima de 16 anos de idade dentro de cada área geográfica intra-municipal. No segundo estágio, para cada área geográfica, os respondentes são selecionados respeitando-se quotas proporcionais controladas por região geográfica, sexo e faixa etária, de acordo com o perfil da população em estudo.";"A margem de erro é de 3,1% para mais ou para menos e o índice de confiança é de 95%. O plano amostral consta de quotas proporcionais as existentes no universo de acordo com as variáveis, Região, Sexo, Faixa Etária. Escolaridade e Renda Familiar não são controladas nas quotas. Variável quanto a REGIÃO: proporcional ao setor censitário do IBGE. Faz-se o resultado após a coleta quanto a FAIXA ETÁRIA: 16 a 24 16,7%; 25 a 34 23,7%; 35 a 44 20,2%; 45 a 59 24,0%; 60 anos ou mais 15,4%; SEXO: masculino 47,3% e feminino 52,7%; Variável quanto a ESCOLARIDADE: Até 1º.Grau Incompleto 40,7% 1º.Grau Completo até 2º. Grau Incompleto 26,9% 2º.Grau Completo até Superior Incompleto 20,4% Superior Completo 6,0% Variável quanto a RENDA FAMILIAR: Até 1 SM 14,7%; Mais de 1 a 2 SM 22,1%; Mais de 2 a 5 SM 38,1%; Mais de 5 a 10 SM 15,0%; Acima de 10 SM 9,0% ";"Todos os questionários preenchidos recebem crítica para avaliação da consistência dos dados coletados. 20% dos questionários são separados aleatoriamente para ser submetido à conferência através de novo contato com os entrevistados, medida sempre adotada e que visa garantir a qualidade e fidelidade dos dados coletados. A consistência dos dados é verificada pelo seu conteúdo e lógica. 
";"#NULO#"
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"MS";"MS";"MATO GROSSO DO SUL";"MS000412014";"2014-09-20 00:00:00";"#NE";"04362689000155";"ST Pesquisa de Mercado Ltda.";"#NE";"Governador, Senador";"2014-09-20 00:00:00";"2014-09-25 00:00:00";1008;"9796-A";"Marcelo Adriano Scardovelli Fernandes";"50000,00";"Serão realizadas 1008 entrevistas no Estado de Mato Grosso do Sul, utilizando-se a técnica de abordagem pessoal, aplicando-se um questionário estruturado (anexado a este documento). Para a amostragem procedeu-se a um sorteio aleatório dos entrevistados, utilizando-se para isso uma amostragem em quatro fases. Na primeira fase realizou-se o sorteio aleatório dos municípios proporcional ao tamanho dos mesmos , utilizando dados do TRE de julho/14. Na segunda fase, foi realizado um novo sorteio PPT para selecionar aleatoriamente os setores censitários a serem entrevistados, utilizando-se para isso dados do IBGE do Censo 2010. Na terceira fase realizou-se o sorteio dos domicílios a serem entrevistados.  Na quarta e última fase preencheu-se as cotas de sexo, idade e grau de instrução determinadas pelos dados do TRE de julho/14.
Em relação à ponderação, devido à metodologia amostral adotada, os fatores de ponderação a serem aplicados em todas as variáveis (sexo , faixa etária e escolaridade) assumem valor igual a 1 (um).
O nível econômico é assegurado através do controle das variáveis descritas acima e da dispersão geográfica da amostra.
";"O plano amostral é composto pelas cotas de sexo, faixa etária e grau de instrução proporcionais ao universo de eleitores (segundo dados do TRE de junho/14) e pela distribuição geográfica da amostra, representada pelos setores censitários/municípios sorteados. 
Para uma amostra de 1008  entrevistas estima-se uma margem de erro total para mais ou para menos de 3,1% considerando-se um nível de confiança de 95%, numa hipótese de p=q=50%.
";"Corresponde aos padrões comuns utilizados em Pesquisa de Opinião Pública: leitura de todos os questionários aplicados e verificação de 20% do material preenchido por cada um dos entrevistadores. A verificação é feita in loco no caso de trabalho em equipe e por telefone. Tem o objetivo de avaliar o trabalho executado pelos entrevistadores.";"A relação dos municípios e bairros sorteados será encaminhada ao TRE-MS até sete dias após o registro da pesquisa, conforme resolução do TSE nº 23.400/2013."
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"MS";"MS";"MATO GROSSO DO SUL";"MS000472014";"2014-09-26 00:00:00";"#NE";"36781946000180";"IPEMS - Instituto de Pesquisas de Mato Grosso do Sul LTDA";"#NE";"Governador, Senador, Deputado Federal, Deputado Estadual";"2014-09-27 00:00:00";"2014-10-01 00:00:00";2000;"5451-A";"Ivan Ferreira Domingues";"30000,00";"Pesquisa nos 50 maiores municípios de Mato Grosso do Sul, do tipo quantitativa, por amostragem, com aplicação de questionário estruturado, abordagem pessoal em pontos de fluxo populacional e domiciliar. O conjunto da população eleitora dos municípios com 16 anos ou mais será tomado como universo da pesquisa.";"Universo: População eleitora dos 50 maiores municípios de MS, com 16 anos ou mais. Tamanho da amostra: A amostra prevista é de 2.000 entrevistas. A amostra é autoponderada, estratificada segundo combinação das variáveis ,sexo e faixa etária da população eleitora.Os dados do TRE-MS e IBGE, servirão como base de perfil e dispersão geográfica da amostra.O grau de confiança da pesquisa é de 95% e, margem de erro prevista é de 2,19% para mais ou para menos.";"Para realização da pesquisa, os trabalhos de campo serão realizados por entrevistadoras, treinadas pelo instituto, recebendo instruções específicas para cada projeto. São checadas até 20% dos questionários, seja in loco, pela coordenação de campo ou, posteriormente, por telefone.";"A área de abrangência da coleta é o Estado de Mato Grosso do Sul. A relação dos municípios
selecionados para aplicação da amostra será apresentada até o 7º dia seguinte ao registro da pesquisa,conforme expresso no art. 2º, §5 da Resolução 23.400/2013 do TSE."
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"MS";"MS";"MATO GROSSO DO SUL";"MS000632014";"2014-10-06 00:00:00";"#NE";"02943355000140";"Ibrape Instituto Brasileiro de Pesquisas de Opinião Pública";"#NE";"Governador";"2014-10-08 00:00:00";"2014-10-10 00:00:00";1040;"	9168-A ";"Luciano Henrique Matos";"48880,00";"Realização de Pesquisa de Opinião Publica, na modalidade quantitativa, com abordagens pessoais e entrevistas com questionário individual, previamente estabelecido e estruturado para coleta de dados e informações junto a um universo amostral que representa o o Estado, portanto, a pesquisa será representativa do Estado de Mato Grosso do Sul, com eleitores com idade igual e superior a 16 anos, pelo método PPT (probabilidade Proporcional ao Tamanho), tomando o eleitorado como base para a aplicação da amostragem, que, por se tratar de amostragem representativa, as variáveis de sexo, faixa etária, formação escolar, rendimento mensal, localização domiciliar, a pesquisa é auto-ponderada, isto é, as proporções estão contidas na amostra conforme critério técnicos por amostragem aleatória simples. De acordo com o projeto global da pesquisa, o nível de confiança estimado é de 95%, e a margem de erro é de até 3 pontos percentuais, para mais ou para menos sobre os resultados encontrados no total da amostra. (www.ibrapenet.com.br) ";"Os trabalhos de entrevistas pessoais serão ""in loco"",e serão desenvolvidos por uma equipe de ""Agentes de Pesquisas"", coordenadores e supervisores, todos contratados pelo próprio IBRAPE, onde foram devidamente treinados e capacitados para o desenvolvimento e execução do projeto da pesquisa. Ao termino dos trabalhos de coleta de dados de campo, os questionários são submetidos a uma fiscalização e crítica técnica, que consiste na conferência de aplicação das ""cotas amostrais"" com adequação aos parâmetros estruturais e retorno, para ""rechecagem"", de, em determinados casos, de até 20% das entrevistas realizadas pelos agentes de pesquisas, para conferencia das respostas e dos pontos de tomadas das entrevistas. Posteriormente, estes questionários são codificados e digitados em modernos sistemas informatizado. 
";"Esta Pesquisa de opinião, tem como abrangência o Estado de Mato Grosso do Sul, a área de estudo foi dividida em 8 (oito)Regiões geográficas do Estado, são elas: Região Central (Campo Grande), Região Norte, Região do Bolsão, Região Vale do Ivinhema, Região da Grande Dourados, Região do Conesul, Região Sudoeste e Região Pantanal. Após a conclusão dos trabalhos e emissão do relatório final, será apresentado em até 7 dias seguintes ao registro e/ou divulgação, demais dados conforme consta do artigo 2°, parágrafo 5°, da Resolução 23.400/2013 do TSE. 

";"#NULO#"
