"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"CD_ELEICAO";"NM_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"NR_PROTOCOLO_REGISTRO";"DT_REGISTRO";"ST_PESQUISA_PROPRIA";"NR_CNPJ_EMPRESA";"NM_EMPRESA";"NM_EMPRESA_FANTASIA";"DS_CARGO";"DT_INICIO_PESQUISA";"DT_FIM_PESQUISA";"QT_ENTREVISTADO";"CD_CONRE";"NM_ESTATISTICO_RESP";"VR_PESQUISA";"DS_METODOLOGIA_PESQUISA";"DS_PLANO_AMOSTRAL";"DS_SISTEMA_CONTROLE";"DS_DADO_MUNICIPIO"
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"MG";"MG";"MINAS GERAIS";"MG000062014";"2014-01-21 00:00:00";"#NE";"09283689000183";"PROMÍDIA PESQUISAS DE OPINIÃO PÚBLICA E MARKETING";"#NE";"Governador, Deputado Federal, Deputado Estadual";"2014-01-18 00:00:00";"2014-01-20 00:00:00";220;"7948";"TARCÍSIO DA SILVA";"5500,00";"A abordagem utilizada consiste na aplicação de uma amostragem aleatória representativa da população residente em Capitólio/MG, controlada por três fatores: região geográfica, gênero e faixa etária. As ponderações quanto ao grau de instrução e nível econômico do entrevistado constarão do relatório final. A variável, nível econômico e grau de instrução não serão controlados no trabalho de campo, uma vez que os locais de entrevistas apresentam adequada representação do município e o espaço geográfico por si só já define o espaço social. Na fase de tabulação, compilação e análise dos dados proceder-se-á a uma verificação da relação dos referidos parâmetros, aplicando-se correções estatísticas onde se fizer necessário.

";"Ponderação sexo e idade do entrevistado; Sexo; Masculino 51,4%, Feminino 48,6%; Idade 16 a 17 anos 4,0%, 18 a 24 anos 13,6%, 25 a 29 anos 9,9%, 30 a 39 anos 20,5%, 40 a 49 anos 19,2%, 50 anos ou mais 32,8%. Para um intervalo de confiança de 95% e um tamanho de amostra 220 entrevistas, a margem de erro máxima estimada foi 6,6 pontos percentuais, para mais ou para menos.";"Todos os questionários preenchidos recebem crítica para avaliação da consistência dos dados coletados. 20% dos questionários são separados, aleatoriamente, para ser submetida à conferência através de novos contatos com os entrevistados, medida sempre adotada e que visa garantir a qualidade e fidelidade dos dados coletados. A consistência dos dados é verificada pelo seu conteúdo e lógica. ";"#NULO#"
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"MG";"MG";"MINAS GERAIS";"MG000132014";"2014-04-25 00:00:00";"#NE";"13697811000135";"Instituto de Pesquisa Plurimus";"#NE";"Governador, Deputado Federal, Deputado Estadual";"2014-04-25 00:00:00";"2014-04-27 00:00:00";400;"8900";" Carlos Henrique Flores ";"10000,00";" A abordagem utilizada consiste na aplicação de uma amostragem aleatória representativa da população residente na Zona Urbana de Uberaba/MG, controlada por três fatores: região geográfica, gênero e faixa etária. As ponderações quanto ao grau de instrução e nível econômico do entrevistado constarão do relatório final. A variável, nível econômico e grau de instrução não serão controlados no trabalho de campo, uma vez que os locais de entrevistas apresentam adequada representação do município e o espaço geográfico por si só já define o espaço social. Na fase de tabulação, compilação e análise dos dados proceder-se-á a uma verificação da relação dos referidos parâmetros, aplicando-se correções estatísticas onde se fizer necessário. 
";"Ponderação sexo e idade do entrevistado; Sexo; Masculino 46,58%, Feminino 53,32%; Idade 16 a 17 anos 0,71%, 18 a 24 anos 12,82%, 25 a 34 anos 21,86%, 35 a 44 anos 19,03%, 45 a 59 anos 25,66%, 60 a 69 anos 10,52%, 70 anos ou mais 9,4%. Para um intervalo de confiança de 95% e um tamanho de amostra 400 entrevistas, a margem de erro máxima estimada foi 5 (cinco) pontos percentuais, para mais ou para menos, sobre o total encontrado na amostra. ";"Todos os questionários preenchidos recebem crítica para avaliação da consistência dos dados coletados. 20% dos questionários são separados, aleatoriamente, para ser submetida à conferência através de novos contatos com os entrevistados, medida sempre adotada e que visa garantir a qualidade e fidelidade dos dados coletados. A consistência dos dados é verificada pelo seu conteúdo e lógica. 
";"#NULO#"
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"MG";"MG";"MINAS GERAIS";"MG000562014";"2014-07-22 00:00:00";"#NE";"00654576000172";",INSTITUTO   VERITÁ   LTDA  epp";"#NE";"Governador, Senador";"2014-07-21 00:00:00";"2014-07-25 00:00:00";3077;"7439 / 6ª Região";"Leonard Mendonça de Assis";"123000,00";"Pesquisa quantitativa, que consiste na realização de entrevistas pessoais, com a aplicação de questionários estruturados e padronizados junto a uma amostra representativa do eleitorado do estado. ";"a) Público pesquisado: Eleitores residentes no Estado de Minas Gerais b) tipo de amostra: A amostragem será realizada da seguinte forma: 1. Estratificação do estado por agrupamento de Microrregiões obedecendo critério geográfico e Porte dos municípios 2. Tamanho de cada estrato foi definido proporcional ao número de domicílios pertencente a cada um destes (Dados obtidos pelos microdados do CENSO Demográfico de 2010, IBGE) 3. Sorteio de Setores Censitários dentro de cada Estrato 4. Seleção das Residências segundo critério de amostragem sistemática 4. Realização de entrevistas domiciliares com sorteio dentre os moradores presentes na residência selecionada, obedecendo um quadro de Idade/Sexo gerado de maneira aleatória por um software estatístico, levando em consideração as proporções de idade e sexo constantes no sitio do TSE para o Estado. Idade e Sexo Faixa Etária	Sexo	 FEMININO MASCULINO 16 A 24 ANOS 8,33%	8,33% 25 A 34 ANOS 11,68%	11,39% 35 A 44 ANOS 9,89%	9,44% 45 A 59 ANOS 12,41%	11,59% 60 ANOS OU MAIS 9,16%	7,79% Nível Econômico Masculino / PEA 82,68% Masculino / Não PEA 17,32% Feminino / PEA 59,69% Feminino / Não PEA 40,31% Nível de Instrução Masculino / Até 5 anos instrução 41,75% Masculino / de 6 a 9 anos de instrução 24,86% Masculino / de 10 a 12 anos de instrução 24,31% Masculino / mais de 12 anos de instrução 9,08% Feminino / Até 5 anos instrução 37,96%% Feminino / de 6 a 9 anos de instrução 21,91% Feminino / de 10 a 12 anos de instrução 27,05% Feminino / mais de 12 anos de instrução 13,07% d) Intervalo de Confiança/Margem de Erro: Para este planejamento amostral, considerando-se um intervalo de confiança de 95%, é esperado um erro máximo de 1,77 pontos percentuais na estimação da proporção das intenções de voto dos candidatos. ";"Para a realização da pesquisa será utilizada uma equipe de entrevistadores e supervisores devidamente treinada para este trabalho. Após os trabalhos de campo, os questionários são submetidos a uma fiscalização que consiste no retorno a campo de 20% dos questionários aplicados individualmente pelos entrevistadores, para verificação das respostas e da adequação dos entrevistados aos parâmetros amostrais. ";"#NULO#"
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"MG";"MG";"MINAS GERAIS";"MG000682014";"2014-08-21 00:00:00";"#NE";"65237786000100";"DIVIDADOS INSTITUTO DE PESQUISA OPINIÃO E MERCADO LTDA";"#NE";"Governador, Deputado Federal, Deputado Estadual";"2014-08-02 00:00:00";"2014-08-02 00:00:00";400;"7772";"DENISE MAGRI MENDES";"9900,00";"O presente trabalho constitui-se numa Pesquisa de Opinião de caráter quantitativo(survey). Essa modalidade de pesquisa implica em tratamento estatístico dos dados levantados em campo, com vistas a criar quadros com freqüências das respostas obtidas, para posterior análise e inferências. O presente relatório contém, pois os resultados quantitativos da pesquisa de opinião realizada junto à população do município de Divinópolis-MG, no dia 02 de agosto de 2014. Pretendeu o presente estudo, conhecer a intenção de voto para Presidente, Governador de Minas Gerais, Deputado Federal e Deputado Estadual. nas próximas eleições em outubro de 2014. Para o universo de 152.121 eleitores, de Divinópolis (TSE – 2014), foram realizadas 400 (quatrocentas) entrevistas, o que garantiu, para um intervalo de confiança de 95%, uma margem máxima de erro de 4,9%. Utilizando-se o critério probabilístico por múltiplos estágios a amostra foi distribuída obedecendo a densidade populacional de cada região em que a cidade está subdividida. Em seguida, os entrevistados foram identificados segundo sexo, faixa etária, nível de escolaridade e nível de renda. A técnica utilizada foi o formulário, em razão de termos optado pela entrevista como forma de ir de encontro aos dados de que necessitamos. As vantagens que possui o uso dessa técnica reside na possibilidade de ser utilizada em uma população heterogênea, além de estabelecer rapport devido ao contato pessoal e assim, pela ação do entrevistador, conseguir a colaboração e a seriedade necessárias ao trabalho de investigação. O formulário utilizado foi composto de 11 (onze) perguntas, elaboradas com a necessária vigilância epistemológica. As perguntas constantes do formulário são classificadas tecnicamente como de múltipla escolha, com mostruário fechado e/ou aberto. A técnica utilizada foi a do formulário, em razão de apresentar a vantagem de estabelecer um vínculo direto entre entrevistador e entrevistado, conseguindo assim a colaboração destes últimos e a seriedade nas suas respostas.";" Para o universo de 152.121 eleitores, de Divinópolis (TSE – 2014), foram realizadas 400 (quatrocentas) entrevistas, o que garantiu, para um intervalo de confiança de 95%, uma margem máxima de erro de 4,9%.";"A DIVIDADOS opta por um trabalho de campo diretamente assistido por uma coordenação. Cada grupo de entrevistadores foi conduzido em veículo da empresa diretamente aos locais de coleta de dados, e supervisionados por um coordenador de grupo. Assim, quaisquer eventuais dúvidas, divergências, ou incongruências nas respostas obtidas foram dirimidas imediatamente na própria região de coleta; A digitação, apuração e tabulação dos resultados finais foram realizadas por programas de computador especialmente desenvolvidos pelo nosso corpo técnico.";"#NULO#"
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"MG";"MG";"MINAS GERAIS";"MG001062014";"2014-09-13 00:00:00";"#NE";"09028982000102";"Instituto Ver Pesquisa e Comunicação Ltda";"#NE";"Governador, Senador, Deputado Federal, Deputado Estadual";"2014-09-13 00:00:00";"2014-09-14 00:00:00";400;"7822";"Nilson José Batista";"14000,00";"A metodologia utilizada será a pesquisa de opinião quantitativa, com realização de entrevistas pessoais e domiciliares através de questionário estruturado com pesquisadores treinados para o tipo de pesquisa em questão.A pesquisa será realizada entre os dias 13 e 14 de setembro de 2014.";"A amostra para o município (400 entrevistas) será selecionada a partir de quotas amostrais, proporcionais a partir de variáveis significativas, a saber sexo e faixa etária. A amostra será coletada seguindo proporcionalmente a distribuição de homens e mulheres (Masculino 49%; Feminino: 51%) e faixa etária (16 e 17 anos: 1%; 18 a 24 anos: 14%; 25 a 34 anos: 21%; 35 a 44 anos: 18%; 45 a 59 anos: 26%; 60 anos ou mais: 21%) dos eleitores, dados estes fornecidos pelo site do TSE.
O nível econômico é assegurado através do controle das variáveis descritas acima e da dispersão geográfica da amostra.
Devido à metodologia amostral adotada, a pesquisa é auto-ponderada, ou seja, as proporções do universo pesquisado estão previstas na amostra, não sendo necessário nenhum tipo de ponderação quanto à sexo, idade, grau de instrução e nível econômico dos respondentes. 
A margem de erro estimada é de ± 5,0 % e o intervalo de confiança é de 95%.
";"A coleta de dados será realizada entre os dias 13 e 14 de setembro de 2014 por entrevistadores e supervisores contratados pelo Instituto Ver Pesquisa e Comunicação Ltda devidamente treinados para o tipo de trabalho. Serão checados 20% dos questionários realizados por cada entrevistador através de entrevistas pessoais e por telefone para verificação das respostas e da adequação dos entrevistadores aos parâmetros amostrais.";"#NULO#"
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"MG";"MG";"MINAS GERAIS";"MG000982014";"2014-09-13 00:00:00";"#NE";"03866435000101";"IPO - INSTITUTO DE PESQUISA DE OPINIÃO E  ASSESSORIA LTDA";"#NE";"Governador, Senador, Deputado Estadual";"2014-09-14 00:00:00";"2014-09-14 00:00:00";400;"9.077";"EDMILSON ANTONIO PEREIRA JUNIOR";"3300,00";"Pesquisa quantitativa, que consiste na realização de entrevistas pessoais, com a aplicação de questionários estruturados e padronizados junto a uma amostra de eleitores do universo pesquisado.";"A amostra de eleitores de Monte Santo de Minas é distribuída de forma a contemplar todas as regiões geográficas do município, a partir de quotas proporcionais ao universo, disponibilizadas pelo site do TSE (Estatísticas Eleitorais 2014), considerando as variáveis: sexo, faixa etária e grau de instrução. Adota-se, assim, a seguinte distribuição: Masculino (50%), Feminino (50%); 16-24 anos (14%), 25-34 anos (20%), 35-44 anos (19%), 45-59 anos (25%), 60 anos ou mais (22%); Analfabeto / Lê e escreve (15%), Ensino fundamental (49%), Ensino médio (32%), Ensino superior (4%) Considerando a amostra de 400 eleitores do município de Monte Santo de Minas/MG, ao nível de 95% de confiança, a margem de erro estimada é de 4,8 pontos percentuais, para mais ou para menos.
";"Trabalho de campo realizado por uma equipe de entrevistadores devidamente treinados e capacitados para a aplicação dos questionários, sempre coordenados por uma pessoa da EMPO. Após a realização das entrevistas é feita a verificação dos questionários das respostas e da adequação dos entrevistados aos parâmetros amostrais, via telefone ou presencial, de 20% dos entrevistados.";"#NULO#"
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"MG";"MG";"MINAS GERAIS";"MG001032014";"2014-09-13 00:00:00";"#NE";"03866435000101";"IPO - INSTITUTO DE PESQUISA DE OPINIÃO E  ASSESSORIA LTDA";"#NE";"Governador, Senador, Deputado Federal, Deputado Estadual";"2014-09-18 00:00:00";"2014-09-18 00:00:00";400;"9.077";"EDMILSON ANTONIO PEREIRA JUNIOR";"2500,00";"Pesquisa quantitativa, que consiste na realização de entrevistas pessoais, com a aplicação de questionários estruturados e padronizados junto a uma amostra de eleitores do universo pesquisado.";"A amostra de eleitores de Cabo Verde é distribuída de forma a contemplar todas as regiões geográficas do município, a partir de quotas proporcionais ao universo, disponibilizadas pelo site do TSE (Estatísticas Eleitorais 2014), considerando as variáveis: sexo, faixa etária e grau de instrução. Adota-se, assim, a seguinte distribuição: Masculino (51%), Feminino (49%); 16-24 anos (14%), 25-34 anos (21%), 35-44 anos (20%), 45-59 anos (25%), 60 anos ou mais (20%); Analfabeto / Lê e escreve (17%), Ensino fundamental (53%), Ensino médio (27%), Ensino superior (3%). Considerando a amostra de 400 eleitores do município de Cabo Verde/MG, ao nível de 95% de confiança, a margem de erro estimada é de 4,8 pontos percentuais, para mais ou para menos.
";"Trabalho de campo realizado por uma equipe de entrevistadores devidamente treinados e capacitados para a aplicação dos questionários, sempre coordenados por uma pessoa da EMPO. Após a realização das entrevistas é feita a verificação dos questionários das respostas e da adequação dos entrevistados aos parâmetros amostrais, via telefone ou presencial, de 20% dos entrevistados.";"#NULO#"
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"MG";"MG";"MINAS GERAIS";"MG000832014";"2014-09-05 00:00:00";"#NE";"86849395000117";"Sensus Data World Pesquisa e Consultoria S/C Ltda";"#NE";"Governador, Senador";"2014-09-07 00:00:00";"2014-09-10 00:00:00";1500;"8429 / 5ª Região";"Felipe Abrahão Coelho Fantauzzi";"60000,00";"1.500 Entrevistas, ponderadas pelas 12 Regiões do Estado, com o sorteio aleatório de 53 Municípios por representatividade de grupos populacionais. Probabilística sistemática com cotas para Sexo, Idade, Escolaridade e Renda no Setor Censitário.";"a) Ponderação sexo, idade, instrução, nível econômico. Sexo: 48,7% Masculino; 51,3% Feminino. Idade: 4,6% de 16 a 17 anos; 16,2% de 18 a 24 anos; 11,5% de 25 a 29 anos; 20,3% de 30 a 39 anos; 18,0% de 40 a 49 anos; 29,4% 50 anos ou mais. Instrução 34,1% até 4a Série do Ensino Fundamental 22,6% da 5a a 8a Série do Ensino Fundamental; 30,2%% da 1a a 3a Série do Ensino Médio; 13,1% Superior completo ou incompleto. Nível Econômico: 20,9% até 01 SM; 59,9% Mais de 01 até 05 SM; 12,7% Mais 05 até 10 SM; 4,5% Mais de 10 até 20 SM; 1,9% Acima 20 SM. b) Intervalo de Confiança = 95%, Margem de Erro = ± 2,5%";"A equipe de trabalho de campo é formada por entrevistadores e coordenadores. Os entrevistadores aplicam as entrevistas individuais domiciliares em Setores Censitários do IBGE previamente sorteados pelo Instituto, dentro de um prazo pré-definido, enquanto os Coordenadores fiscalizam o trabalho dos Entrevistadores. É atribuição dos Coordenadores: 1) Garantir o cumprimento correto das entrevistas; 2) Anular questionários que não cumpram a amostra através da conferência das cotas; 3) Anular questionários preenchidos e/ou aplicados incorretamente; 4) Fazer cumprir o trabalho de campo dentro do prazo especificado. Após conclusão do trabalho de campo é realizada uma checagem de cerca de 15% dos questionários aplicados, através de verificação in loco: 1) Confirmação da existência do entrevistado; 2) Verificação de cotas (Sexo, Idade, Escolaridade e Renda); 3) Verificação da aplicação integral do questionário.";"Abadia dos Dourados, Andradas, Araguari, Augusto de Lima, Belo Horizonte, Betim, Bom Despacho, Brasília de Minas, Brasópolis, Capitão Enéas, Contagem, Coronel Murta, Diamantina, Divinópolis, Engenheiro Navarro, Frutal, Governador Valadares, Ibiá, Ibirité, Ipatinga, Itabira, Itaguara, Itamogi, Itumirim, Januária, Juatuba, Juiz de Fora, Laranjal, Leopoldina, Matipó, Matozinhos, Montes Claros, Muriaé, Muzambinho, Nova Lima, Oliveira, Paracatu, Passos, Pedro Leopoldo, Pirapetinga, Poços de Caldas, Ribeirão das Neves, Sabinópolis, São Bento Abade, São Gonçalo do Pará, São João del Rei, São Sebastião do Paraíso, Sete Lagoas, Sobrália, Teófilo Otoni, Timóteo, Uberaba e Uberlândia."
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"MG";"MG";"MINAS GERAIS";"MG001302014";"2014-09-23 00:00:00";"#NE";"65237786000100";"DIVIDADOS INSTITUTO DE PESQUISA OPINIÃO E MERCADO LTDA";"#NE";"Governador, Senador, Deputado Federal, Deputado Estadual";"2014-09-23 00:00:00";"2014-09-23 00:00:00";400;"7772";"DENISE MAGRI MENDES";"8000,00";"O presente trabalho constitui-se numa Pesquisa de Opinião de caráter quantitativo(survey). Essa modalidade de pesquisa implica em tratamento estatístico dos dados levantados em campo, com vistas a criar quadros com freqüências das respostas obtidas, para posterior análise e inferências. O presente relatório contém, pois os resultados quantitativos da pesquisa de opinião realizada junto aos eleitores de Nova Serrana-MG, no dia 23 de Setembro de 2014. Pretendeu o presente estudo, conhecer a intenção de voto para Presidente, Senador, Governador de Minas Gerais, Deputado Federal e Deputado Estadual, nas próximas eleições em outubro de 2014. Para o universo de 46.365 eleitores, (TSE – 2014), foram realizadas 400 (quatrocentas) entrevistas, o que garantiu, para um intervalo de confiança de 95%, uma margem máxima de erro de 4,9%. Utilizando-se o critério probabilístico por múltiplos estágios a amostra foi distribuída obedecendo a densidade populacional de cada região em que a cidade está subdividida. Em seguida, os entrevistados foram identificados segundo sexo, faixa etária, nível de escolaridade e nível de renda. A técnica utilizada foi o formulário, em razão de termos optado pela entrevista como forma de ir de encontro aos dados de que necessitamos. As vantagens que possui o uso dessa técnica reside na possibilidade de ser utilizada em uma população heterogênea, além de estabelecer rapport devido ao contato pessoal e assim, pela ação do entrevistador, conseguir a colaboração e a seriedade necessárias ao trabalho de investigação. O formulário utilizado foi composto de 13 (Treze) perguntas, elaboradas com a necessária vigilância epistemológica. As perguntas constantes do formulário são classificadas tecnicamente como de múltipla escolha, com mostruário fechado e/ou aberto. ";"Para o universo de 46.365 eleitores, (TSE – 2014), foram realizadas 400 (quatrocentas) entrevistas, o que garantiu, para um intervalo de confiança de 95%, uma margem máxima de erro de 4,9%. ";"A DIVIDADOS opta por um trabalho de campo diretamente assistido por uma coordenação. Cada grupo de entrevistadores foi conduzido em veículo da empresa diretamente aos locais de coleta de dados, e supervisionados por um coordenador de grupo. Assim, quaisquer eventuais dúvidas, divergências, ou incongruências nas respostas obtidas foram dirimidas imediatamente na própria região de coleta; A digitação, apuração e tabulação dos resultados finais foram realizadas por programas de computador especialmente desenvolvidos pelo nosso corpo técnico. ";"#NULO#"
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"MG";"MG";"MINAS GERAIS";"MG001322014";"2014-09-23 00:00:00";"#NE";"09283689000183";"PROMÍDIA PESQUISAS DE OPINIÃO PÚBLICA E MARKETING";"#NE";"Governador, Senador, Deputado Federal, Deputado Estadual";"2014-09-19 00:00:00";"2014-09-25 00:00:00";315;"7655 - A";"AUGUSTO DA SILVA ROCHA";"4100,00";"Será adotada a metodologia do tipo “survey”, com entrevistas domiciliares do tipo face-a-face. As entrevistas serão realizadas por meio de cotas proporcionais de acordo com o número de eleitores em cada setor censitário, do sexo, e da idade, de acordo com dados do Censo Demográfico de 2010. Os questionários previamente elaborados de acordo com o objetivo do estudo, realizado por pesquisadores treinados para abordagem desta natureza. Público pesquisado: eleitores residentes e domiciliados no município de Monte Belo/MG.";"O plano amostral consta de quotas proporcionais as existentes no universo de acordo com as variáveis, Região, Sexo, Faixa Etária. Escolaridade e Renda Familiar não são controladas nas quotas. Variável quanto a REGIÃO: proporcional ao setor censitário do IBGE. Variável quanto ao sexo: Masculino 52,7%, Feminino 47,3%. Idade 16 a 17 anos 4,4%, 18 a 24 anos 15,6%, 25 a 29 anos 10,2%, 30 a 39 anos 19,7%, 40 a 49 anos 18,7%, 50 anos ou mais 31,4%. Para um intervalo de confiança de 95% e um tamanho de amostra 315 entrevistas, a margem de erro máxima estimada foi 5,4 pontos percentuais, para mais ou para menos.";"Todos os questionários preenchidos recebem crítica para avaliação da consistência dos dados coletados. 20% dos questionários são separados, aleatoriamente, para ser submetida à conferência através de novos contatos com os entrevistados, medida sempre adotada e que visa garantir a qualidade e fidelidade dos dados coletados. A consistência dos dados é verificada pelo seu conteúdo e lógica. 

";"#NULO#"
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"MG";"MG";"MINAS GERAIS";"MG001492014";"2014-09-24 00:00:00";"#NE";"14026979000181";"Instituto de Pesquisas e Sistemas de Marketing Ltda";"#NE";"Governador, Senador, Deputado Federal, Deputado Estadual";"2014-09-27 00:00:00";"2014-09-28 00:00:00";400;"7772";"Denise Nogueira Magri Mendes";"10000,00";"A metodologia compreende a obtenção dos dados através de entrevistas pessoais, no domicílio do entrevistado, em 11 (onze) áreas geográficas e distribuídas proporcionalmente ao número de eleitores de cada uma delas, com a aplicação de questionário estruturado.";"A estratificação da amostra constitui-se de 48% de elementos do sexo masculino e 52% do sexo feminino; 2% de elementos com idade entre 16 e 17 anos, 18% entre 18 e 25 anos, 24% entre 26 e 35 anos, 24% entre 36 e 45 anos, 15% entre 46 e 55 anos, 11% entre 56 e 65 anos e 7% mais de 65 anos de idade; 10% de elementos primário incompleto, 20% primário completo, 25% ginásio completo, 33% colegial completo, 12% superior completo; e, conforme ‘Critério Brasil’ de classificação social, serão entrevistados 1% de elementos da “Classe A1”, 4% como “Classe A2”, 12% como “Classe B1”, 22% como “Classe B2”, 31% como “Classe C1”, 21% como “Classe C2”, 8% como “Classe D” e 1% como “Classe E”. A margem de erro padrão é de 5% para mais ou para menos, com intervalo de confiança estabelecido de 95%.";"A equipe de entrevistadores, supervisores e coordenadores serão devidamente treinados para o projeto em questão. Ao todo, 20% das entrevistas realizadas serão checadas para validação da amostra, diretamente junto aos respondentes, de todas as áreas geográficas pesquisadas. ";"A pesquisa será realizada no perímetro urbano do município de Uberlândia-MG."
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"MG";"MG";"MINAS GERAIS";"MG001542014";"2014-09-24 00:00:00";"#NE";"09283689000183";"PROMÍDIA PESQUISAS DE OPINIÃO PÚBLICA E MARKETING";"#NE";"Governador, Senador, Deputado Federal, Deputado Estadual";"2014-09-24 00:00:00";"2014-09-26 00:00:00";216;"7655 - A";"AUGUSTO DA SILVA ROCHA";"3000,00";"Será adotada a metodologia do tipo “survey”, com entrevistas domiciliares do tipo face-a-face. As entrevistas serão realizadas por meio de cotas proporcionais de acordo com o número de eleitores em cada setor censitário, do sexo, e da idade, de acordo com dados do Censo Demográfico de 2010. Os questionários previamente elaborados de acordo com o objetivo do estudo, realizado por pesquisadores treinados para abordagem desta natureza. Público pesquisado: eleitores residentes e domiciliados no município de Cabo Verde/MG.";"O plano amostral consta de quotas proporcionais as existentes no universo de acordo com as variáveis, Região, Sexo, Faixa Etária. Escolaridade e Renda Familiar não são controladas nas quotas. Variável quanto a REGIÃO: proporcional ao setor censitário do IBGE. Variável quanto ao sexo: Masculino 54,6%, Feminino 45,4%. Idade 16 a 17 anos 5,1%, 18 a 24 anos 17,6%, 25 a 29 anos 11,6%, 30 a 39 anos 20,4%, 40 a 49 anos 17,6%, 50 anos ou mais 27,8%. Para um intervalo de confiança de 95% e um tamanho de amostra 216 entrevistas, a margem de erro máxima estimada foi 6,6 pontos percentuais, para mais ou para menos.";"Todos os questionários preenchidos recebem crítica para avaliação da consistência dos dados coletados. 20% dos questionários são separados, aleatoriamente, para ser submetida à conferência através de novos contatos com os entrevistados, medida sempre adotada e que visa garantir a qualidade e fidelidade dos dados coletados. A consistência dos dados é verificada pelo seu conteúdo e lógica. 

";"#NULO#"
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"MG";"MG";"MINAS GERAIS";"MG002002014";"2014-09-30 00:00:00";"#NE";"86849395000117";"Sensus Data World Pesquisa e Consultoria S/C Ltda";"#NE";"Governador, Senador";"2014-10-03 00:00:00";"2014-10-04 00:00:00";1500;"8429 / 5ª Região";" Felipe Abrahão Coelho Fantauzzi ";"60000,00";"1.500 Entrevistas, ponderadas pelas 12 Regiões do Estado, com o sorteio aleatório de 53 Municípios por representatividade de grupos populacionais. Probabilística sistemática com cotas para Sexo, Idade, Escolaridade e Renda no Setor Censitário.";"a) Ponderação sexo, idade, instrução, nível econômico. Sexo: 48,7% Masculino; 51,3% Feminino. Idade: 4,6% de 16 a 17 anos; 16,2% de 18 a 24 anos; 11,5% de 25 a 29 anos; 20,3% de 30 a 39 anos; 18,0% de 40 a 49 anos; 29,4% 50 anos ou mais. Instrução 34,1% até 4a Série do Ensino Fundamental 22,6% da 5a a 8a Série do Ensino Fundamental; 30,2%% da 1a a 3a Série do Ensino Médio; 13,1% Superior completo ou incompleto. Nível Econômico: 20,9% até 01 SM; 59,9% Mais de 01 até 05 SM; 12,7% Mais 05 até 10 SM; 4,5% Mais de 10 até 20 SM; 1,9% Acima 20 SM. b) Intervalo de Confiança = 95%, Margem de Erro = ± 2,5% ";"A equipe de trabalho de campo é formada por entrevistadores e coordenadores. Os entrevistadores aplicam as entrevistas individuais domiciliares em Setores Censitários do IBGE previamente sorteados pelo Instituto, dentro de um prazo pré-definido, enquanto os Coordenadores fiscalizam o trabalho dos Entrevistadores. É atribuição dos Coordenadores: 1) Garantir o cumprimento correto das entrevistas; 2) Anular questionários que não cumpram a amostra através da conferência das cotas; 3) Anular questionários preenchidos e/ou aplicados incorretamente; 4) Fazer cumprir o trabalho de campo dentro do prazo especificado. Após conclusão do trabalho de campo é realizada uma checagem de cerca de 15% dos questionários aplicados, através de verificação in loco: 1) Confirmação da existência do entrevistado; 2) Verificação de cotas (Sexo, Idade, Escolaridade e Renda); 3) Verificação da aplicação integral do questionário. ";"#NULO#"
